Date,Open,High,Low,Close,Total Trade Quantity
05-Dec-18,1039,1052.65,1037.97,1049.6,5899422
06-Dec-18,1044.85,1050.82,1042.5,1048.53,5865126
07-Dec-18,1053.35,1059,1040.15,1053.8,4951960
10-Dec-18,1032.95,1052.4,1032.95,1044.38,5457528
11-Dec-18,1028,1035.65,1016,1029.78,9452890
12-Dec-18,1033.47,1044.9,1030.05,1042.65,5685244
13-Dec-18,1047.5,1062.5,1045.65,1050.65,3532118
14-Dec-18,1052.45,1059,1044.03,1047.85,3079142
17-Dec-18,1052,1066.3,1049.5,1065.1,4218662
18-Dec-18,1062,1069.5,1051.3,1067.72,3706984
19-Dec-18,1066.55,1079.7,1056.78,1061.72,4504948
20-Dec-18,1056.28,1070.22,1051.32,1068.72,3990238
21-Dec-18,1067,1074.55,1054.53,1055.57,5110154
24-Dec-18,1052,1052,1038.68,1040.32,2800744
26-Dec-18,1038.5,1063.5,1034.5,1061.18,3800958
27-Dec-18,1066.5,1069.1,1049.22,1052.53,5819934
28-Dec-18,1058.68,1068.88,1057.75,1061.45,4707806
31-Dec-18,1068.5,1068.5,1058.35,1060.85,2933264
01-Jan-19,1063.82,1075.5,1052.8,1074.05,3186720
02-Jan-19,1071.4,1073.75,1059.85,1064.25,4067116
03-Jan-19,1062.1,1064.12,1051.5,1055.9,6385832
04-Jan-19,1057.62,1064.25,1055.18,1058.72,3643560
07-Jan-19,1063.85,1067.68,1059,1060.32,2693506
08-Jan-19,1061,1061.75,1048.32,1051.5,4171730
09-Jan-19,1059,1060.68,1051.3,1058.4,4284314
10-Jan-19,1058.5,1061.9,1046.32,1054.25,3845770
11-Jan-19,1056.9,1062,1054,1055.95,3204020
14-Jan-19,1054.95,1054.95,1049.22,1050.82,2427580
15-Jan-19,1052.53,1063.25,1051,1060.95,2543778
16-Jan-19,1060.03,1062.5,1054.12,1060.1,2626226
17-Jan-19,1062.62,1067.95,1056.68,1066.15,4120114
18-Jan-19,1067.5,1069.5,1057.28,1065.12,2603988
21-Jan-19,1069.97,1083.25,1063.25,1074.07,8780756
22-Jan-19,1073,1073.4,1064.53,1067.93,4398488
23-Jan-19,1067,1067.93,1050.72,1052.7,3812144
24-Jan-19,1055,1060.82,1048.95,1051.12,5055786
25-Jan-19,1046.5,1055,1045,1048,5631118
28-Jan-19,1045,1051.03,1038.38,1042.07,7680218
29-Jan-19,1039.12,1041.5,1026.5,1028.8,7381394
30-Jan-19,1028.62,1028.62,1014,1017.35,9257080
31-Jan-19,1015.5,1044.88,1011,1039.97,8289702
01-Feb-19,1039.97,1058.5,1038.3,1045.22,7827094
04-Feb-19,1047.5,1056.5,1041.32,1052.45,3969144
05-Feb-19,1054,1059.5,1048.5,1057.03,4345144
06-Feb-19,1058.12,1063.5,1056.8,1061.32,5437842
